strategy,throughput_mean,throughput_ci_lo,throughput_ci_hi,recovery_latency_mean_ms,recovery_latency_ci_lo_ms,recovery_latency_ci_hi_ms,duplicate_rate_mean_pct,duplicate_rate_ci_lo_pct,duplicate_rate_ci_hi_pct,n_trials
Spark A,40829.3,40229.8,41428.9,5206.4,5098.7,5314.2,3.322,2.9784,3.6655,30
Spark B,51217.6,50373.3,52061.9,20718.7,20359.3,21078.2,13.0889,11.9737,14.2041,30
Spark C,46843.9,46239.3,47448.5,8898.2,8735.4,9060.9,1.8754,1.6201,2.1306,30
Adaptive,45965.5,45416.4,46514.6,12427.5,12259.2,12595.8,0.3208,0.273,0.3685,30
Flink F1,55279.2,54500.6,56057.8,7570.9,7428.5,7713.4,0.0463,0.0224,0.0702,30
Flink F2,58311.8,57323.0,59300.5,10337.1,10143.8,10530.4,0.0183,0.0072,0.0294,30
Flink F3,51930.1,51210.0,52650.2,13172.3,12931.0,13413.6,0.0609,0.0344,0.0874,30
